title,price,age,quantity,link
Дальние рубежи (Red Outpost),63.00 руб.,Возраст игроков 10+,Количество игроков 2-4,http://www.nastolki.by/все-игры/дальние-рубежи-red-outpost/
Биржа (Stockpile),77.00 руб.,Возраст игроков 13+,Количество игроков 2-5,http://www.nastolki.by/все-игры/биржа-stockpile/
Энергосеть: карточная игра (Power Grid: The Card Game),37.00 руб.,Возраст игроков 13+,Количество игроков 2-6,http://www.nastolki.by/все-игры/энергосеть-карточная-игра-power-grid-the-card-game/
7 чудес: Армада (7 Wonders: Armada, дополнение),111.00 руб.,Возраст игроков 10+,Количество игроков 2-7,http://www.nastolki.by/все-игры/7-чудес-армада-7-wonders-armada-дополнение/
Теотиуакан: Город Богов (Teotihuacan: City of Gods),115.00 руб.,Возраст игроков 12+,Количество игроков 2-4,http://www.nastolki.by/все-игры/теотиуакан-город-богов-teotihuacan-city-of-gods/
Амон-Ра (Amon-Ra),126.00 руб.,Возраст игроков 10+,Количество игроков 3-5,http://www.nastolki.by/все-игры/амон-ра-amon-ra/
Тикаль (Tikal),126.00 руб.,Возраст игроков 10+,Количество игроков 2-4,http://www.nastolki.by/все-игры/тикаль-tikal/
Великий западный путь: Дорога на Север (Great Western Trail: Rails to the North),77.00 руб.,Возраст игроков 14+,Количество игроков 2-4,http://www.nastolki.by/все-игры/великий-западный-путь-дорога-на-север-great-western-trail-rails-to-the-north/
Majesty: Твоя корона, твоё королевство (Majesty: For the Realm),75.00 руб.,Возраст игроков 7+,Количество игроков 2-4,http://www.nastolki.by/все-игры/majesty-твоя-корона-твоё-королевство-majesty-for-the-realm/
Покорение Марса: Колонии (Terraforming Mars: Colonies),59.00 руб.,Возраст игроков 12+,Количество игроков 1-5,http://www.nastolki.by/все-игры/покорение-марса-колонии-terraforming-mars-colonies/
Монополия. Рик и Морти,132.00 руб.,Возраст игроков 17+,Количество игроков 2-6,http://www.nastolki.by/все-игры/монополия.-рик-и-морти/
Монополия. Fallout,95.00 руб.,Возраст игроков 8+,Количество игроков 2-6,http://www.nastolki.by/все-игры/монополия.-fallout/
Серп: Восхождение Фенриса (Scythe: The Rise of Fenris),110.00 руб.,Возраст игроков 14+,Количество игроков 1-5,http://www.nastolki.by/все-игры/серп-восхождение-фенриса-scythe-the-rise-of-fenris/
Цивилизация Сида Мейера: Новый рассвет (Sid Meier's Civilization: A New Dawn),151.00 руб.,Возраст игроков 13+,Количество игроков 2-4,http://www.nastolki.by/все-игры/цивилизация-сида-мейера-новый-рассвет-sid-meiers-civilization-a-new-dawn/
Киклады (Cyclades),136.00 руб.,Возраст игроков 13+,Количество игроков 2-5,http://www.nastolki.by/все-игры/киклады-cyclades/
Королевские хроники (Paper Tales),76.00 руб.,Возраст игроков 12+,Количество игроков 2-5,http://www.nastolki.by/все-игры/королевские-хроники-paper-tales/
Покорение Марса: Пролог (Terraforming Mars: Prelude),39.00 руб.,Возраст игроков 12+,Количество игроков 1-5,http://www.nastolki.by/все-игры/покорение-марса-пролог-terraforming-mars-prelude/
Зеленые Просторы (Fields of Green),67.00 руб.,Возраст игроков 12+,Количество игроков 2-4,http://www.nastolki.by/все-игры/зеленые-просторы-fields-of-green/
Альтиплано (Altiplano),105.00 руб.,Возраст игроков 12+,Количество игроков 2-5,http://www.nastolki.by/все-игры/альтиплано-altiplano/
Brass: Ланкашир (Brass: Lancashire),157.00 руб.,Возраст игроков 14+,Количество игроков 2-4,http://www.nastolki.by/все-игры/brass-ланкашир-brass-lancashire/
Brass: Бирмингем (Brass: Birmingham),157.00 руб.,Возраст игроков 14+,Количество игроков 2-4,http://www.nastolki.by/все-игры/brass-бирмингем-brass-birmingham/
Контейнер: Юбилейное издание (Container: 10th Anniversary Jumbo Edition!),150.00 руб.,Возраст игроков 13+,Количество игроков 3-5,http://www.nastolki.by/все-игры/контейнер-юбилейное-издание-container-10th-anniversary-jumbo-edition/
Феод (Feudum),154.00 руб.,Возраст игроков 14+,Количество игроков 2-5,http://www.nastolki.by/все-игры/феод-feudum/
CIV: Carta Impera Victoria. Карточная цивилизация,49.00 руб.,Возраст игроков 8+,Количество игроков 2-4,http://www.nastolki.by/все-игры/civ-carta-impera-victoria.-карточная-цивилизация/
Гавр (Le Havre),95.00 руб.,Возраст игроков 12+,Количество игроков 1-5,http://www.nastolki.by/все-игры/гавр-le-havre/
Виноделие: Полное издание (Viticulture: Essential Edition),237.00 руб.,Возраст игроков 13+,Количество игроков 1-6,http://www.nastolki.by/все-игры/виноделие-полное-издание-viticulture-essential-edition/
Восходящее солнце (Rising Sun),226.00 руб.,Возраст игроков 13+,Количество игроков 3-5,http://www.nastolki.by/все-игры/восходящее-солнце-rising-sun/
Брюгге: Город на Звине (Br?gge: Die Stadt am Zwin),48.00 руб.,Возраст игроков 12+,Количество игроков 2-5,http://www.nastolki.by/все-игры/брюгге-город-на-звине-br-gge-die-stadt-am-zwin/
